Timestamp,Discord Username,Rank Your Country Choices [Abyssinia],Rank Your Country Choices [Ajuuran],Rank Your Country Choices [Athapasca],Rank Your Country Choices [Austria],Rank Your Country Choices [Aymara],Rank Your Country Choices [Ayutthaya],Rank Your Country Choices [England],Rank Your Country Choices [France],Rank Your Country Choices [Guarani],Rank Your Country Choices [Inuit],Rank Your Country Choices [Kongo],Rank Your Country Choices [Mapuche-Tehuelche],Rank Your Country Choices [Ming],Rank Your Country Choices [Mughal],Rank Your Country Choices [Netherlands],Rank Your Country Choices [Ottoman],Rank Your Country Choices [Poland-Lithuania],Rank Your Country Choices [Portugal],Rank Your Country Choices [Qing],Rank Your Country Choices [Russia],Rank Your Country Choices [Safavid],Rank Your Country Choices [Spain],Rank Your Country Choices [Sweden],Rank Your Country Choices [Ute-Shoshone],Rank Your Country Choices [Tokugawa],Select Here If You Have No Power Preferences,"Would you like to be placed in a game where throwing is penalized?

Throwing would be determined as ""Moving with the intention to end the game by providing supply centers to another power or to eliminate your power ahead of when it would naturally cease to exist."" Penalties would include reputation (as if you had left the game) and loss of IDR invested in the game. Whether you threw would be determined by the GM and Angel (who would both have to agree you threw) and by a panel of 3 Admins, of which 2 would need to agree you threw.
",Are there any people you refuse to play with? (This will be shared with the Admins and your GM Team.),Anything else the Admins should know?
11/04/2026 18:40:35,3ea4ed88,,4th,,,,,,,,2nd,5th,1st,,,,,,,,,,,3rd,,,,I have no preference either way,,
17/04/2026 18:00:19,5be0a019,,,,,,,1st,,,,,,,,5th,,,2nd,,,,3rd,,,4th,,Yes,,
13/04/2026 17:46:55,be5fdec5,,,2nd,,,,,,,1st,,3rd,4th,,,,,,5th,,,,,,,,I have no preference either way,,
12/04/2026 08:40:33,1cc733ea,,5th,,,,,2nd,3rd,,4th,,,,,,,,1st,,,,,,,,,I have no preference either way,a8c9cd4a,
13/04/2026 14:22:23,4ee4db05,,,,,,5th,,,,3rd,,,,,,,2nd,,4th,,,,,1st,,,Yes,,
15/04/2026 18:20:37,0ba4ef1d,,,,5th,,,2nd,,,,,,,,,3rd,4th,,,1st,,,,,,,I have no preference either way,,
12/04/2026 01:02:30,ba8f7103,,,,5th,,,,,,,,,,,4th,,2nd,,,,,,1st,,3rd,,I have no preference either way,,
15/04/2026 01:02:10,59a78b20,,5th,,,,1st,,,,,,,,2nd,,4th,3rd,,,,,,,,,,No,"17f02504, 55946acf",
12/04/2026 01:29:57,b29021f4,,,3rd,,,,,,,,2nd,1st,,,,4th,,,,,,,,,5th,,I have no preference either way,,
11/04/2026 18:08:38,176fb04b,,,,,,,,,,,,5th,,3rd,,4th,,,,,,,2nd,,1st,,I have no preference either way,,
13/04/2026 22:06:06,c79b6434,,,,,,,1st,2nd,,3rd,,,,,,,,,,,,4th,,5th,,,I have no preference either way,,
15/04/2026 20:41:39,87425b5f,,,,,,4th,,,,5th,,2nd,,,,,,,,,,,,1st,3rd,,I have no preference either way,,
17/04/2026 15:36:39,e7797d1a,,,,,,,,,,,,,,,5th,3rd,2nd,,,,,,,4th,1st,,I have no preference either way,,
11/04/2026 18:37:01,bebdfb32,,,1st,4th,,3rd,,,,,,2nd,,,,,,,,,,,5th,,,,I have no preference either way,,
12/04/2026 03:35:59,48ecde5a,,,,,,2nd,,,,,,1st,,,,,,,4th,,5th,,,,3rd,,I have no preference either way,,
12/04/2026 08:45:37,eebfd9e1,,,,,,,,3rd,,,4th,,,,,1st,,,,2nd,,,5th,,,,Yes,,
15/04/2026 20:18:19,09bb8419,,,,,3rd,1st,,,,,,,,,,,,,,,2nd,,,4th,,,I have no preference either way,,
12/04/2026 02:14:47,66772f18,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 18:04:29,f5138cb7,,,,,,,4th,1st,,,,,,,2nd,,,5th,,,,,,,3rd,,I have no preference either way,,
11/04/2026 18:17:07,ad5f7930,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,Yes,,
11/04/2026 20:37:24,c218a74c,,,,,,2nd,,,,,,,,4th,,,,,1st,,5th,,,,3rd,,Yes,,
13/04/2026 23:07:28,ec4bbe8a,,,4th,,,1st,,,,,,,,,,2nd,,,,,,,,,3rd,,I have no preference either way,,
11/04/2026 18:08:12,06f21fd1,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
14/04/2026 17:07:07,992e2bc1,,2nd,5th,,,,,,,,3rd,,,,,,,,,,,,1st,4th,,,Yes,,
11/04/2026 18:31:15,2fdc0251,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
14/04/2026 23:11:34,0c9b1312,,,,2nd,,,,,,,,5th,,,,,3rd,,,,,,1st,4th,,,I have no preference either way,,
14/04/2026 11:45:54,376e7e69,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,No,,
16/04/2026 03:58:05,1555724f,,,,,,,,,,,,,,4th,,,,,1st,2nd,3rd,,,,5th,,I have no preference either way,,
11/04/2026 19:21:24,d1537af2,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
16/04/2026 04:10:00,79fabcdf,,,,,,,,,,,,,1st,3rd,,,,,4th,5th,2nd,,,,,,I have no preference either way,,
11/04/2026 19:28:22,c46d3f45,,,,,,,,,,,,,,,,2nd,3rd,,,,,,4th,1st,,,I have no preference either way,,
11/04/2026 19:18:28,b3692e4d,4th,,,2nd,,,,,,,,,,,,,1st,,,,3rd,,,,,No Preferences,I have no preference either way,,
11/04/2026 21:08:46,a8c9cd4a,,,,,,,,,,3rd,,,,,5th,,,2nd,1st,,,,,,4th,,I have no preference either way,265c325e,
11/04/2026 23:07:43,c0f1c13f,,,,,,5th,,,,,4th,2nd,,,,,3rd,,,,,,,,1st,,Yes,,
11/04/2026 18:39:30,0d0030da,,,,5th,,,,,,,,,,1st,,,,,,3rd,,2nd,,4th,,,I have no preference either way,,
12/04/2026 16:58:49,8befc2b3,,,,,,2nd,,,,,,,,,4th,5th,,,,,,,,3rd,1st,,I have no preference either way,,
12/04/2026 00:04:31,d30a7241,,,,,,,,1st,,,,,,,2nd,,,,,,,5th,4th,,3rd,,I have no preference either way,,
11/04/2026 18:17:49,56844554,3rd,,,,,5th,,,,,2nd,,,,,,,,,,,,1st,,4th,,I have no preference either way,,
16/04/2026 09:56:19,cdc9c71a,,,,,,2nd,,,,,,5th,,,,,,,,,,,1st,4th,3rd,,I have no preference either way,7a8b7c0c,
11/04/2026 19:31:04,5cb2f89b,,,,,,,,4th,,,,5th,,,,1st,3rd,,,,,2nd,,,,,Yes,,
17/04/2026 15:33:29,1882cdc7,,,,,,4th,,,,1st,,2nd,,,,,,,,,,5th,,,3rd,,No,"4bf3dd86, 2e9efe53, 4ee4db05, 55946acf",
11/04/2026 18:04:26,20b9a582,,,,,,,,,,,,,,,,2nd,,4th,5th,,,,,3rd,1st,,Yes,2e3d5718,
12/04/2026 23:31:07,085be981,,,,,,3rd,,,,,,5th,,4th,,,,,,,,,,1st,2nd,,I have no preference either way,,
11/04/2026 18:08:31,2c7b3aee,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,No,d30a7241,
15/04/2026 08:02:01,becd1502,,,,,,,,,,5th,3rd,,,,,,,,,4th,2nd,,1st,,,,I have no preference either way,0b4da7e4,
14/04/2026 00:29:00,974e4ab4,,4th,,,,,,,,,,1st,,,,,,,,5th,3rd,,,,2nd,,I have no preference either way,,
11/04/2026 19:54:09,2adfd9a9,,,,,,,,,,1st,4th,2nd,,,,,,,,,,,,3rd,5th,,Yes,d3da3d36,
11/04/2026 18:30:34,810ffd99,,,,,1st,,,,3rd,,4th,2nd,,,,,,,,,,,,5th,,,I have no preference either way,,
16/04/2026 04:13:17,117957ef,,,,,,,2nd,,1st,,,,,,4th,5th,,,3rd,,,,,,,,I have no preference either way,265c325e,
11/04/2026 22:47:25,a1735fb6,5th,,,,2nd,3rd,,1st,,,,,,,,,,,,,,,,,4th,,I have no preference either way,,
17/04/2026 16:29:07,6388a861,,,,5th,,,,3rd,,,,,,,,4th,1st,,,,,,2nd,,,,I have no preference either way,,
11/04/2026 18:07:23,6e08fda9,,3rd,,,,,,,,2nd,4th,1st,,,,,,,,,,,,,5th,,I have no preference either way,,
17/04/2026 19:01:50,18768348,,,,,3rd,,,,,1st,,,2nd,,,4th,,,,,,,,,,,Yes,,
11/04/2026 22:18:47,d7f34c94,,,4th,,,,,,,,,,,,,,2nd,,,,5th,,1st,3rd,,,I have no preference either way,,
11/04/2026 18:03:58,4c270fca,,,,,,,,,,3rd,,,,5th,,2nd,4th,,,1st,,,,,,,Yes,,
12/04/2026 23:02:51,2e9efe53,,,,,,2nd,,,,,,,,3rd,,,,,,,4th,,1st,,5th,,Yes,"07a54178, 013443a3, 8cd10c5d",
11/04/2026 18:16:39,7933e2cc,,,3rd,,2nd,,,,,,,1st,,,,,,,5th,,,,,4th,,,Yes,,
11/04/2026 18:08:04,84e9dc6c,,,,,,5th,,,,,,,3rd,1st,,,,,2nd,,4th,,,,,,No,,
11/04/2026 18:30:37,f56bf91f,,,,,1st,,,,,,,,,,,,,,3rd,,,2nd,,,4th,No Preferences,I have no preference either way,,
13/04/2026 04:13:28,26867ad9,,,,,,3rd,,,,,4th,,,,,2nd,1st,,,,,5th,,,,,I have no preference either way,,
11/04/2026 18:23:34,7e4557f1,,,,,3rd,,,,5th,,,1st,,,,,,,,,,,,2nd,,,I have no preference either way,,
16/04/2026 18:26:04,19b59779,,,,,2nd,,,,3rd,5th,,1st,,,,,,,,,,,,,4th,,I have no preference either way,,
11/04/2026 23:01:11,265c325e,,,,,,,1st,3rd,,,,,,,,5th,,4th,,2nd,,,,,,,I have no preference either way,,
17/04/2026 19:34:52,ca39ca65,1st,,4th,,,3rd,,,,,,,,,,,,,,,,,,,2nd,,Yes,e7797d1a,
13/04/2026 23:09:28,4d544ea4,,,,,1st,,,,3rd,,,2nd,,,,,,4th,,,,5th,,,,,I have no preference either way,,
13/04/2026 17:10:51,75ec8165,,,,,,,,,,,,3rd,,,5th,1st,,4th,,,,,,2nd,,,I have no preference either way,,
11/04/2026 19:24:51,4e0ae49d,,,,,,,3rd,4th,,,,,,,5th,,,1st,,,,2nd,,,,,Yes,,
15/04/2026 10:52:13,f67f746f,,,,,,4th,,2nd,,,,,,,,1st,,,,,,5th,,,3rd,,Yes,,
11/04/2026 18:36:26,a88de5e8,,,,,,2nd,,,,4th,,,,,,,,,3rd,5th,,,1st,,,,I have no preference either way,,
11/04/2026 18:32:37,2d15cc2e,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 19:29:57,8ccc7064,,,,,,,1st,4th,,,,,,,,5th,,2nd,,,,3rd,,,,,I have no preference either way,,
11/04/2026 18:36:58,dd0e9903,,,,,,,,,,,,1st,,,,,,,,,5th,,3rd,2nd,4th,,I have no preference either way,,
11/04/2026 20:52:02,a87a8977,,,,,,,,2nd,,,,,,,,,,5th,,,3rd,,1st,,4th,,I have no preference either way,,
13/04/2026 15:39:38,306554ea,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 18:36:07,e6ec4798,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,9e8cc9ff,
11/04/2026 20:59:17,6867b4da,,,,,,,5th,,,,,,,,,4th,1st,,,2nd,,,,,3rd,,I have no preference either way,,
15/04/2026 10:04:09,bb55f74a,,5th,3rd,2nd,,,,,,,,1st,,,,,,,,,,,,,4th,,I have no preference either way,,
11/04/2026 18:12:38,babf437a,,,,2nd,,1st,,,,,,,5th,,,,,,,,3rd,,4th,,,,Yes,,
11/04/2026 18:19:09,7f057950,,,,,,2nd,,,,,,,,4th,,,5th,,3rd,,1st,,,,,,No,,
12/04/2026 01:24:53,e0b95101,,,,,,3rd,,,,,,,1st,5th,,,,,2nd,,,,,,4th,,Yes,,
11/04/2026 19:29:03,ad140960,,4th,,,,,,,,,,5th,,,1st,,2nd,,,,3rd,,,,,,I have no preference either way,,
12/04/2026 00:17:28,cb9dde67,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 19:00:08,fc58efb4,,,,,,,,,,2nd,3rd,,,1st,,,,,5th,4th,,,,,,,Yes,,
14/04/2026 20:05:00,4e23453b,,,,,,,3rd,,,4th,,,,,,,5th,2nd,,,,,1st,,,,Yes,1b9c483c,
11/04/2026 19:04:43,8da44594,,,,,,,2nd,3rd,,,,,,,4th,,,1st,,,,5th,,,,,I have no preference either way,,
11/04/2026 18:19:36,9d654009,,,,,,,,,,,,,,,,5th,4th,3rd,,,,1st,,2nd,,,No,,
13/04/2026 21:02:12,2c1133d2,5th,4th,,3rd,,,,,,,,,,,1st,,,,,,,,,2nd,,,No,,
11/04/2026 18:14:36,f2c77348,,,,,,3rd,,,,5th,,,,,,2nd,,,,,,,4th,,1st,,I have no preference either way,,
16/04/2026 13:30:49,b978b8e4,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
15/04/2026 13:06:47,fc53b5fb,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
13/04/2026 10:17:20,cafffc2b,1st,,,,5th,,,,,,2nd,,,,,,,,,,4th,,3rd,,,,Yes,,
13/04/2026 03:56:01,604cbd79,,2nd,,,4th,,,,3rd,,1st,,,,,,,,,,,,,5th,,,I have no preference either way,,
17/04/2026 19:27:23,6666cda6,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,Yes,,
11/04/2026 18:06:51,cf6a263f,,,,,,,,,,5th,,,,,,,3rd,,,,,4th,1st,,2nd,,Yes,,
12/04/2026 07:24:09,bb0b2640,,,,,,,,,,1st,,2nd,,,,,,,4th,,,,5th,3rd,,,I have no preference either way,,
11/04/2026 23:30:55,92d953fa,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 18:05:02,1a802843,,,,,,,,,,,,,,,,4th,,,1st,5th,,,,2nd,3rd,No Preferences,Yes,,
11/04/2026 21:23:28,a16d8c68,,,,3rd,,,,,,2nd,,,,,,5th,,,,,,,4th,,1st,,No,,
11/04/2026 18:15:47,79d4ea9b,,,,1st,,,,5th,,,,,,,,4th,2nd,,,,3rd,,,,,,No,,
12/04/2026 06:57:49,6686b394,,,,,3rd,,,,2nd,5th,,1st,,,,,,,,,4th,,,,,,I have no preference either way,,
11/04/2026 19:47:13,a066b620,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 18:08:11,4ded93ca,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
11/04/2026 22:27:46,102a58de,,,3rd,,,,,,,1st,,,,,,,,,,,,5th,,2nd,4th,,I have no preference either way,,
11/04/2026 18:19:41,f4e25cfd,,,,,,,3rd,,,4th,,,,,,,,2nd,,,,1st,5th,,,,Yes,,
12/04/2026 03:51:14,634627ac,,4th,,5th,,,,,,,,,1st,,,2nd,,,,,,,,3rd,,,I have no preference either way,,
11/04/2026 18:25:33,85c32e09,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
14/04/2026 05:59:47,6db4805d,,,,1st,,,,,,,,,,,,2nd,3rd,,,,,5th,,,4th,,Yes,84438f22,
11/04/2026 19:52:37,c21947b1,,,,,,4th,2nd,,,3rd,,,,,,,5th,,,,,,1st,,,,I have no preference either way,,
11/04/2026 20:48:13,68223cf2,,2nd,,,,4th,,,,,,,,,,,,,5th,,,,1st,3rd,,,I have no preference either way,,
11/04/2026 22:17:08,ef281238,5th,,,,,3rd,,,4th,,2nd,,,,,,,,,,,,1st,,,,I have no preference either way,,
11/04/2026 20:36:16,da9ae4c9,,,,,,,,,1st,,2nd,3rd,,,,,,,,,4th,,,5th,,,I have no preference either way,9390298f,
14/04/2026 13:22:28,66ce878f,,,,2nd,,5th,,,,,,,,,,,,,,4th,1st,,3rd,,,,I have no preference either way,,
12/04/2026 04:15:52,73401514,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,Yes,,
11/04/2026 18:22:54,ea360b9d,,,,,,,,,,,,5th,,,,,1st,3rd,,,,2nd,,4th,,,I have no preference either way,,
15/04/2026 02:28:28,850a5642,,,,,,,2nd,,,1st,,,,,3rd,,4th,5th,,,,,,,,,I have no preference either way,,
12/04/2026 21:24:14,7876cada,,,3rd,,,,1st,,,,,,,,,4th,,2nd,,,,5th,,,,,No,,
13/04/2026 15:57:19,bc1762c3,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,968a05ac,
12/04/2026 07:18:42,17f02504,,,,,,,,,,3rd,,,,,,1st,4th,,,2nd,,,,,,,I have no preference either way,,
12/04/2026 07:35:23,0c291527,,,,,,,2nd,5th,,4th,,,,,1st,,,3rd,,,,,,,,,I have no preference either way,"4556ccb4, 14159d97, c166286c, 78085919",
17/04/2026 21:42:37,5e799a6d,,3rd,,,,1st,,,,5th,2nd,,,,,,,,,,,,4th,,,,Yes,,
17/04/2026 22:32:21,26f1338c,,3rd,,,,4th,,,,,,1st,,,,,,,,,,,,2nd,5th,,I have no preference either way,,
17/04/2026 22:39:04,58749d6b,,,,,5th,,,,3rd,,,2nd,,,,,,,4th,,,,,1st,,,No,,
17/04/2026 22:48:43,132e2c02,,,,,,2nd,,,,3rd,,1st,,,,,,,,,,,4th,,5th,,I have no preference either way,,
17/04/2026 22:53:59,4ec5c090,,,,,,3rd,,,,,,,5th,2nd,,4th,,,1st,,,,,,,,No,9390298f,
17/04/2026 22:57:54,690f6f69,4th,,,5th,,,,,,,,,,,1st,,,2nd,,,,,,,3rd,,I have no preference either way,,
18/04/2026 02:05:09,7be6fb87,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,No,,
18/04/2026 03:18:03,13417049,,,,,,,,2nd,,,,,,,4th,,,3rd,,,,1st,,,5th,,Yes,"4ded93ca, 157dcc82, d7573345, 30c7f5ad, 4ee4db05",
18/04/2026 03:25:12,da1aa8af,,,,2nd,,,,,,3rd,4th,,,,,,,,5th,,,,,,1st,,I have no preference either way,,
18/04/2026 07:27:42,92aaa8f6,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,Yes,6f60ac7f,
18/04/2026 10:55:00,0ff2af5a,,,,,,,,,,,,,,,,,,,,,,,,,,No Preferences,I have no preference either way,,
18/04/2026 15:05:16,b7ba44d8,,1st,,,,,,,,,3rd,,,,,,,,,,5th,,2nd,4th,,,I have no preference either way,,
18/04/2026 15:49:30,ece03563,,,1st,2nd,,,,,,,,,,,,3rd,,,,,,,,,,,I have no preference either way,,
